tx_id	bp_id
TX-K02.1-001	NHSA-口腔类-41
TX-K02.1-002	NHSA-口腔类-41
TX-K02.1-005	NHSA-口腔类-41
TX-K02.1-006	NHSA-口腔类-48
TX-K02.7-002	NHSA-口腔类-41
TX-K04.00-001	NHSA-口腔类-39
TX-K04.00-001	NHSA-口腔类-41
TX-K02.1-003	NHSA-口腔类-39
TX-K02.1-003	NHSA-口腔类-41
TX-K02.1-007	NHSA-口腔类-39
TX-K02.1-007	NHSA-口腔类-41
TX-K04.01-002	NHSA-口腔类-39
TX-K04.01-001	NHSA-口腔类-31
TX-K04.01-001	NHSA-口腔类-32
TX-K04.01-001	NHSA-口腔类-33
TX-K04.01-001	NHSA-口腔类-77
TX-K04.01-001	NHSA-口腔类-76
TX-K04.01-003	NHSA-口腔类-31
TX-K04.01-003	NHSA-口腔类-33
TX-K04.03-001	NHSA-口腔类-31
TX-K04.03-001	NHSA-口腔类-33
TX-K04.03-001	NHSA-口腔类-76
TX-K04.1-001	NHSA-口腔类-31
TX-K04.1-001	NHSA-口腔类-33
TX-K04.1-001	NHSA-口腔类-77
TX-K04.1-001	NHSA-口腔类-76
TX-K04.1-002	NHSA-口腔类-36
TX-K04.1-002	NHSA-口腔类-33
TX-K04.5-001	NHSA-口腔类-31
TX-K04.5-001	NHSA-口腔类-33
TX-K04.5-002	NHSA-口腔类-34
TX-K04.5-002	NHSA-口腔类-38
TX-K04.6-001	NHSA-口腔类-31
TX-K04.6-001	NHSA-口腔类-33
TX-K04.02-001	NHSA-口腔类-28
TX-K04.02-001	NHSA-口腔类-31
TX-K04.02-001	NHSA-口腔类-33
TX-K02.0-001	NHSA-口腔类-44
TX-K02.51-001	NHSA-口腔类-43
TX-K02.7-001	NHSA-口腔类-44
TX-K04.01-004	NHSA-口腔类-49
TX-K02.1-008	NHSA-口腔类-49
TX-K05.20-004	NHSA-口腔类-49
TX-K05.31-003	NHSA-口腔类-49
TX-K04.7-001	NHSA-口腔类-28
TX-K04.7-001	NHSA-口腔类-68
TX-K05.20-001	NHSA-口腔类-68
TX-K05.20-001	NHSA-口腔类-91
TX-K05.20-001	NHSA-口腔类-96
TX-K05.10-001	NHSA-口腔类-88
TX-K05.10-001	NHSA-口腔类-93
TX-K05.30-001	NHSA-口腔类-88
TX-K05.30-001	NHSA-口腔类-89
TX-K05.30-001	NHSA-口腔类-93
TX-K05.30-001	NHSA-口腔类-96
TX-K05.30-001	NHSA-口腔类-97
TX-K05.30-003	NHSA-口腔类-100
TX-K05.31-001	NHSA-口腔类-88
TX-K05.31-001	NHSA-口腔类-93
TX-K05.31-001	NHSA-口腔类-96
TX-K05.31-001	NHSA-口腔类-97
TX-K05.31-002	NHSA-口腔类-88
TX-K05.31-002	NHSA-口腔类-93
TX-K05.31-002	NHSA-口腔类-96
TX-K05.31-002	NHSA-口腔类-97
TX-K12.0-001	NHSA-口腔类-114
TX-K13.0-001	NHSA-口腔类-114
